Group 1,Group 2,H,p-value,q-value
GillCont (n=25),GillInf (n=5),0.0007747105966240342,0.9777948486768923,0.9777948486768923
GillCont (n=25),GillRes (n=18),0.04910574018125265,0.8246267226067322,0.9514923722385371
GillCont (n=25),MucusCont (n=25),19.321210549070464,1.104723313054061e-05,0.00016570849695810914
GillCont (n=25),MucusInf (n=7),3.8456021175669064,0.04987661025950307,0.106878450556078
GillCont (n=25),MucusRes (n=20),7.454002504448688,0.006329554487420918,0.018988663462262755
GillInf (n=5),GillRes (n=18),0.005558301752063584,0.9405695597574881,0.9777948486768923
GillInf (n=5),MucusCont (n=25),8.217075450701087,0.004149802521985741,0.016356066542672014
GillInf (n=5),MucusInf (n=7),2.9178947368421055,0.08760208916066059,0.14600348193443433
GillInf (n=5),MucusRes (n=20),3.884526558891462,0.04873300061248413,0.106878450556078
GillRes (n=18),MucusCont (n=25),16.301836945304448,5.401156723900199e-05,0.0004050867542925149
GillRes (n=18),MucusInf (n=7),3.520146520146511,0.06062708756228089,0.11367578917927668
GillRes (n=18),MucusRes (n=20),8.12677848309073,0.004361617744712537,0.016356066542672014
MucusCont (n=25),MucusInf (n=7),2.3332309868748613,0.12663878197444955,0.18995817296167433
MucusCont (n=25),MucusRes (n=20),1.41143346734331,0.23481857522406668,0.32020714803281825
MucusInf (n=7),MucusRes (n=20),0.19597818974917736,0.657986909595305,0.8224836369941313
